subject,body,category,sentiment,urgency
"Wrong size received, again!","Hello team,

Wrong size received, again! Please assist as soon as possible.

Thanks,
A customer",complaint,negative,high
Unable to sign in to my account.,"Hello team,

Unable to sign in to my account. Please assist as soon as possible.

Thanks,
A customer",support,negative,high
Smooth checkout process and great app.,"Hello team,

Smooth checkout process and great app. Please assist as soon as possible.

Thanks,
A customer",support,positive,medium
How do I update my email address?,"Hello team,

How do I update my email address? Please assist as soon as possible.

Thanks,
A customer",query,neutral,medium
My issue hasn’t been resolved despite multiple emails.,"Hello team,

My issue hasn’t been resolved despite multiple emails. Please assist as soon as possible.

Thanks,
A customer",complaint,negative,high
Why is no one responding to my complaint?,"Hello team,

Why is no one responding to my complaint? Please assist as soon as possible.

Thanks,
A customer",complaint,negative,high
Can I change the product in my order?,"Hello team,

Can I change the product in my order? Please assist as soon as possible.

Thanks,
A customer",query,neutral,medium
Completely unsatisfied with the packaging.,"Hello team,

Completely unsatisfied with the packaging. Please assist as soon as possible.

Thanks,
A customer",complaint,negative,high
What is your return policy?,"Hello team,

What is your return policy? Please assist as soon as possible.

Thanks,
A customer",query,neutral,medium
Want to confirm delivery date.,"Hello team,

Want to confirm delivery date. Please assist as soon as possible.

Thanks,
A customer",query,neutral,medium
The delivery was late by a week.,"Hello team,

The delivery was late by a week. Please assist as soon as possible.

Thanks,
A customer",complaint,negative,high
The product was damaged on delivery.,"Hello team,

The product was damaged on delivery. Please assist as soon as possible.

Thanks,
A customer",complaint,negative,high
I’m unhappy with your customer care.,"Hello team,

I’m unhappy with your customer care. Please assist as soon as possible.

Thanks,
A customer",complaint,negative,high
App interface is super clean.,"Hello team,

App interface is super clean. Please assist as soon as possible.

Thanks,
A customer",support,positive,high
Your delivery team was very polite.,"Hello team,

Your delivery team was very polite. Please assist as soon as possible.

Thanks,
A customer",other,positive,high
How do I change my delivery address?,"Hello team,

How do I change my delivery address? Please assist as soon as possible.

Thanks,
A customer",query,neutral,medium
I received the wrong item.,"Hello team,

I received the wrong item. Please assist as soon as possible.

Thanks,
A customer",complaint,negative,high
This is the third time I’m contacting support.,"Hello team,

This is the third time I’m contacting support. Please assist as soon as possible.

Thanks,
A customer",support,negative,high
Very satisfied with your platform.,"Hello team,

Very satisfied with your platform. Please assist as soon as possible.

Thanks,
A customer",support,positive,high
I want to change the delivery date.,"Hello team,

I want to change the delivery date. Please assist as soon as possible.

Thanks,
A customer",query,neutral,medium
Can I modify the order I placed?,"Hello team,

Can I modify the order I placed? Please assist as soon as possible.

Thanks,
A customer",query,neutral,medium
Great service as always!,"Hello team,

Great service as always! Please assist as soon as possible.

Thanks,
A customer",support,positive,high
Need invoice for my last purchase.,"Hello team,

Need invoice for my last purchase. Please assist as soon as possible.

Thanks,
A customer",query,neutral,medium
How can I apply a coupon code?,"Hello team,

How can I apply a coupon code? Please assist as soon as possible.

Thanks,
A customer",query,neutral,medium
The service is extremely poor and I’m disappointed.,"Hello team,

The service is extremely poor and I’m disappointed. Please assist as soon as possible.

Thanks,
A customer",complaint,negative,high
